Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Víctor García,es ESP,"MF,FW",28-221,18.0,9,830,9.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,Levante UD,18
Iker Losada,es ESP,MF,24-267,18.0,9,688,7.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.39,0.13,0.52,0.39,0.52,Matches,2025-2026,Levante UD,18
Carlos Espí,es ESP,FW,20-275,19.0,7,828,9.2,8.0,0.0,8.0,8.0,0.0,0.0,3.0,0.0,0.87,0.0,0.87,0.87,0.87,Matches,2025-2026,Levante UD,19
Ugo Raghouber,fr FRA,MF,22-286,11.0,7,581,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,11
Diego Pampín,es ESP,DF,26-041,6.0,4,368,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,6
Jorge Cabello,es ESP,DF,22-000,5.0,4,362,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,5
Paco Cortés,es ESP,"MF,FW",18-257,11.0,3,413,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,11
Goduine Koyalipou,cf CTA,FW,26-069,11.0,2,247,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches,2025-2026,Levante UD,11
Pablo Cuñat,es ESP,GK,23-362,2.0,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,2
José Luis Morales,es ESP,MF,38-276,19.0,1,338,3.8,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.27,0.27,0.53,0.0,0.27,Matches,2025-2026,Levante UD,19
Nacho Pérez,es ESP,DF,17-236,2.0,1,80,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,2
Tay Abed,il ISR,MF,22-048,4.0,0,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,4
Sergio Lozano,es ESP,MF,27-032,1.0,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Levante UD,1
Ruiz Agustina,es ESP,MF,23-073,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Dani Cervera,es ESP,MF,23-041,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Martín Krug,pa PAN,DF,19-290,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Huseini Nakoha,,DF,,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Alejandro Primo,es ESP,GK,21-289,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Cayetano Romero,es ESP,GK,21-058,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Levante UD,0
Martin Valjent,sk SVK,DF,30-135,31.0,31,"2,790",31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,31
Vedat Muriqi,xk KVX,FW,32-001,31.0,30,"2,588",28.8,21.0,1.0,22.0,16.0,5.0,7.0,3.0,1.0,0.73,0.03,0.77,0.56,0.59,Matches,2025-2026,RCD Mallorca,31
Leo Román,es ESP,GK,25-293,27.0,27,"2,430",27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,27
Johan Mojica,co COL,DF,33-247,31.0,26,"2,404",26.7,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,RCD Mallorca,31
Samu Costa,pt POR,MF,25-149,29.0,26,"2,276",25.3,6.0,1.0,7.0,6.0,0.0,0.0,9.0,0.0,0.24,0.04,0.28,0.24,0.28,Matches,2025-2026,RCD Mallorca,29
Pablo Maffeo,es ESP,DF,28-287,26.0,25,"2,218",24.6,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2025-2026,RCD Mallorca,26
Sergi Darder,es ESP,MF,32-124,32.0,24,"2,187",24.3,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.04,0.21,0.25,0.04,0.25,Matches,2025-2026,RCD Mallorca,32
Antonio Raillo,es ESP,DF,34-199,23.0,23,"2,032",22.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2025-2026,RCD Mallorca,23
Omar Mascarell,gq EQG,"MF,DF",33-082,25.0,21,"1,827",20.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches,2025-2026,RCD Mallorca,25
Mateo Joseph,es ESP,"MF,FW",22-188,29.0,19,"1,699",18.9,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.11,0.16,0.26,0.11,0.26,Matches,2025-2026,RCD Mallorca,29
Jan Virgili,es ESP,"MF,FW",19-273,25.0,17,"1,530",17.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.06,0.24,0.29,0.06,0.29,Matches,2025-2026,RCD Mallorca,25
Manu Morlanes,es ESP,MF,27-103,26.0,17,"1,352",15.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.13,0.0,0.13,0.13,0.13,Matches,2025-2026,RCD Mallorca,26
Pablo Torre,es ESP,"MF,FW",23-022,29.0,14,"1,201",13.3,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.22,0.22,0.45,0.22,0.45,Matches,2025-2026,RCD Mallorca,29
Antonio Sánchez,es ESP,"MF,DF",29-114,27.0,9,"1,000",11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,27
Mateu Morey,es ESP,"DF,MF",26-054,16.0,8,629,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2025-2026,RCD Mallorca,16
Takuma Asano,jp JPN,"MF,FW",31-166,17.0,7,557,6.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,2025-2026,RCD Mallorca,17
David López,es ESP,DF,23-081,9.0,6,585,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,9
Toni Lato,es ESP,"DF,MF",28-155,9.0,6,465,5.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,2025-2026,RCD Mallorca,9
Lucas Bergström,fi FIN,GK,23-232,5.0,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,5
Marash Kumbulla,al ALB,DF,26-076,8.0,5,439,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,8
Zito Luvumbo,ao ANG,"FW,MF",24-047,6.0,3,280,3.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.64,0.64,0.0,0.64,Matches,2025-2026,RCD Mallorca,6
Marc Domenech,es ESP,MF,20-114,7.0,2,214,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,Matches,2025-2026,RCD Mallorca,7
Javier Llabrés,es ESP,MF,23-226,15.0,1,174,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,15
Abdón Prats,es ESP,FW,33-139,11.0,0,103,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,11
Dani Rodríguez,es ESP,"FW,MF",37-323,2.0,0,68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,2
Justin-Noël Kalumba,fr FRA,FW,21-121,2.0,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,2
Jan Salas,es ESP,MF,20-258,2.0,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,RCD Mallorca,2
Iván Cuéllar,es ESP,GK,41-333,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Jandro García,es ESP,MF,20-061,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Daniel Luna,co COL,MF,22-353,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Javier Olaizola,es ESP,DF,19-041,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Cesc Riba,es ESP,MF,19-285,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Iliesse Salhi,fr FRA,MF,18-272,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Leo Sãnchez,es ESP,DF,20-029,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Nil Torreguitart,es ESP,GK,24-216,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Rareș Vlad,ro ROU,GK,20-109,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,RCD Mallorca,0
Sergio Herrera,es ESP,GK,32-324,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,CA Osasuna,32
Catena,es ESP,DF,31-179,,29,"2,531",28.1,2.0,2.0,4.0,2.0,0.0,0.0,10.0,1.0,0.07,0.07,0.14,0.07,0.14,Matches,2025-2026,CA Osasuna,29
Jon Moncayola,es ESP,MF,27-347,,29,"2,525",28.1,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2025-2026,CA Osasuna,30
Víctor Muñoz,es ESP,"MF,FW",22-286,,29,"2,477",27.5,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.18,0.07,0.25,0.18,0.25,Matches,2025-2026,CA Osasuna,32
Ante Budimir,hr CRO,FW,34-277,,29,"2,448",27.2,16.0,0.0,16.0,10.0,6.0,8.0,1.0,0.0,0.59,0.0,0.59,0.37,0.37,Matches,2025-2026,CA Osasuna,31
Lucas Torró,es ESP,MF,31-280,,27,"1,985",22.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2025-2026,CA Osasuna,29
Valentin Rosier,fr FRA,"DF,MF",29-249,,24,"2,020",22.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.04,0.04,0.09,0.04,0.09,Matches,2025-2026,CA Osasuna,25
Enzo Boyomo,cm CMR,DF,24-200,,23,"2,002",22.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches,2025-2026,CA Osasuna,24
Rubén García,es ESP,"MF,FW",32-285,,23,"1,842",20.5,2.0,5.0,7.0,2.0,0.0,0.0,5.0,0.0,0.1,0.24,0.34,0.1,0.34,Matches,2025-2026,CA Osasuna,29
Aimar Oroz,es ESP,"MF,FW",24-149,,22,"1,856",20.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2025-2026,CA Osasuna,25
Jorge Herrando,es ESP,DF,25-056,,16,"1,533",17.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2025-2026,CA Osasuna,27
Abel Bretones,es ESP,"MF,DF",25-247,,15,"1,431",15.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,CA Osasuna,23
Javi Galán,es ESP,DF,31-157,,15,"1,320",14.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2025-2026,CA Osasuna,15
Moi Gómez,es ESP,MF,31-306,,10,987,11.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2025-2026,CA Osasuna,21
Juan Cruz Armada,es ESP,DF,33-271,,7,649,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,CA Osasuna,15
Iker Muñoz,es ESP,MF,23-171,,6,788,8.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,CA Osasuna,16
Raúl,es ESP,FW,25-173,,5,817,9.1,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.55,0.0,0.55,0.55,0.55,Matches,2025-2026,CA Osasuna,30
Raúl Moro,es ESP,MF,23-141,,4,379,4.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.0,0.47,Matches,2025-2026,CA Osasuna,9
Kike Barja,es ESP,MF,29-024,,2,349,3.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.26,0.52,0.77,0.26,0.77,Matches,2025-2026,CA Osasuna,22
Asier Osambela,es ESP,DF,22-076,,2,300,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.3,Matches,2025-2026,CA Osasuna,13
Iñigo Arguibide,es ESP,DF,21-006,,2,187,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,CA Osasuna,6
Iker Benito,es ESP,MF,23-258,,1,150,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches,2025-2026,CA Osasuna,5
Sheraldo Becker,sr SUR,"FW,MF",31-075,,0,158,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,CA Osasuna,9
Aitor Fernández,es ESP,GK,34-357,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,Matches,2025-2026,CA Osasuna,0
Raúl Chasco,es ESP,DF,22-224,,0,,,,,,,,,,,,,,,,Matches,2025-2026,CA Osasuna,0
Mauro Echegoyen,es ESP,MF,21-053,,0,,,,,,,,,,,,,,,,Matches,2025-2026,CA Osasuna,0
Martín Espinal,es ESP,FW,22-250,,0,,,,,,,,,,,,,,,,Matches,2025-2026,CA Osasuna,0
Mikel Serrano García,es ESP,DF,22-313,,0,,,,,,,,,,,,,,,,Matches,2025-2026,CA Osasuna,0
Dimitrios Stamatakis,gr GRE,GK,23-002,,0,,,,,,,,,,,,,,,,Matches,2025-2026,CA Osasuna,0
Aarón Escandell,es ESP,GK,30-210,32.0,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,32
Ilyas Chaira,ma MAR,MF,25-082,30.0,25,"2,016",22.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,1.0,0.22,0.09,0.31,0.22,0.31,Matches,2025-2026,Real Oviedo,30
Alberto Reina,es ESP,MF,28-228,31.0,25,"1,922",21.4,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,0.19,0.05,0.23,0.19,0.23,Matches,2025-2026,Real Oviedo,31
Federico Viñas,uy URU,"FW,MF",27-299,28.0,23,"2,018",22.4,9.0,1.0,10.0,7.0,2.0,2.0,5.0,3.0,0.4,0.04,0.45,0.31,0.36,Matches,2025-2026,Real Oviedo,28
Nacho Vidal,es ESP,DF,31-091,23.0,22,"1,849",20.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,23
Santiago Colombatto,ar ARG,MF,29-098,27.0,19,"1,769",19.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2025-2026,Real Oviedo,27
David Carmo,ao ANG,DF,26-280,21.0,19,"1,722",19.1,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Real Oviedo,21
Kwasi Sibo,gh GHA,MF,27-305,23.0,19,"1,532",17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,23
David Costas,es ESP,DF,31-030,20.0,18,"1,627",18.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,Real Oviedo,20
Haissem Hassan,eg EGY,"MF,FW",24-076,31.0,17,"1,657",18.4,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,2025-2026,Real Oviedo,31
Javi López,es ESP,DF,24-031,20.0,17,"1,438",16.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2025-2026,Real Oviedo,20
Rahim Bonkano,ne NIG,DF,24-114,23.0,15,"1,456",16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,23
Leander Dendoncker,be BEL,MF,31-010,19.0,15,"1,330",14.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2025-2026,Real Oviedo,19
Dani Calvo,es ESP,DF,32-024,16.0,13,"1,251",13.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,16
Salomón Rondón,ve VEN,FW,36-221,16.0,13,"1,032",11.5,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,2025-2026,Real Oviedo,16
Eric Bailly,ci CIV,DF,32-013,12.0,12,"1,043",11.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2025-2026,Real Oviedo,12
Lucas Ahijado,es ESP,DF,31-085,15.0,10,972,10.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2025-2026,Real Oviedo,15
Luka Ilić,rs SRB,"MF,FW",26-297,18.0,8,714,7.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.13,0.0,0.13,0.13,0.13,Matches,2025-2026,Real Oviedo,18
Nicolas Fonseca,uy URU,MF,27-188,14.0,7,676,7.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,14
Thiago Fernández,ar ARG,MF,22-022,11.0,6,533,5.9,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.68,0.68,0.0,0.68,Matches,2025-2026,Real Oviedo,11
Josip Brekalo,hr CRO,"MF,FW",27-306,14.0,6,486,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,14
Santi Cazorla,es ESP,MF,41-133,22.0,4,655,7.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.14,0.14,0.0,0.14,Matches,2025-2026,Real Oviedo,22
Oier Luengo,es ESP,DF,28-165,3.0,3,225,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,0.0,0.4,Matches,2025-2026,Real Oviedo,3
Álex Forés,es ESP,FW,25-013,15.0,2,296,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,2025-2026,Real Oviedo,15
Ovie Ejaria,eng ENG,MF,28-158,8.0,2,200,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,8
Thiago Borbas,uy URU,FW,24-018,7.0,0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,7
Pablo Agudín,es ESP,MF,18-168,6.0,0,78,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,6
Marco Esteban,es ESP,DF,20-114,1.0,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,1
Omar Falah,es ESP,DF,22-228,1.0,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,1
Borja Sánchez Laborde,es ESP,MF,30-058,1.0,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Oviedo,1
Álex Cardero,es ESP,MF,22-243,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Cheli,es ESP,MF,20-294,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Brandon Domingues,fr FRA,MF,25-323,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Diego Espinosa,es ESP,DF,21-297,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Adri Fernández,es ESP,DF,20-188,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Lamine Gueye,sn SEN,FW,21-222,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Diego Menéndez,es ESP,MF,21-114,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Horaţiu Moldovan,ro ROU,GK,28-095,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Miguel Narváez,es ESP,GK,23-361,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Oviedo,0
Florian Lejeune,fr FRA,DF,34-340,,31,"2,780",30.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2025-2026,Rayo Vallecano,31
Augusto Batalla,ar ARG,GK,29-360,,30,"2,700",30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,30
Andrei Ratiu,ro ROU,DF,27-309,,28,"2,493",27.7,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,Rayo Vallecano,29
Jorge de Frutos,es ESP,"FW,MF",29-064,,28,"2,136",23.7,10.0,1.0,11.0,9.0,1.0,1.0,3.0,0.0,0.42,0.04,0.46,0.38,0.42,Matches,2025-2026,Rayo Vallecano,30
Isaac Palazón Camacho,es ESP,"MF,FW",31-119,,26,"2,181",24.2,3.0,3.0,6.0,1.0,2.0,3.0,9.0,0.0,0.12,0.12,0.25,0.04,0.17,Matches,2025-2026,Rayo Vallecano,30
Pep Chavarría,es ESP,DF,28-015,,25,"2,309",25.7,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.04,0.08,0.12,0.04,0.12,Matches,2025-2026,Rayo Vallecano,28
Álvaro García,es ESP,"MF,FW",33-180,,22,"2,056",22.8,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.18,0.22,0.39,0.18,0.39,Matches,2025-2026,Rayo Vallecano,31
Óscar Valentín,es ESP,MF,31-248,,22,"1,808",20.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Rayo Vallecano,28
Pedro Díaz,es ESP,"MF,FW",27-324,,18,"1,581",17.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,29
Nobel Mendy,sn SEN,DF,21-234,,18,"1,461",16.2,2.0,0.0,2.0,2.0,0.0,0.0,7.0,2.0,0.12,0.0,0.12,0.12,0.12,Matches,2025-2026,Rayo Vallecano,19
Pathé Ciss,sn SEN,"MF,DF",32-040,,16,"1,578",17.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,0.11,0.0,0.11,0.11,0.11,Matches,2025-2026,Rayo Vallecano,23
Unai López,es ESP,MF,30-177,,16,"1,316",14.6,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.21,0.21,0.0,0.21,Matches,2025-2026,Rayo Vallecano,23
Alfonso Espino,uy URU,"DF,MF",34-110,,12,"1,206",13.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,2025-2026,Rayo Vallecano,25
Gerard Gumbau,es ESP,MF,31-128,,11,874,9.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2025-2026,Rayo Vallecano,23
Francisco Perez,es ESP,"MF,FW",23-228,,10,"1,094",12.2,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.16,0.08,0.25,0.16,0.25,Matches,2025-2026,Rayo Vallecano,25
Alexandre Alemão,br BRA,FW,28-024,,9,875,9.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2025-2026,Rayo Vallecano,20
Luiz Felipe,it ITA,DF,29-034,,7,470,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,10
Ilias Akhomach,ma MAR,"MF,FW",22-009,,6,619,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2025-2026,Rayo Vallecano,10
