Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Carlos Ballestero,es ESP,DF,22-001,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Deportivo Alaves,1
Raúl Fernández,es ESP,GK,38-043,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Izei Hernandez,es ESP,FW,19-082,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Nikola Maraš,rs SRB,DF,30-127,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Rubén Montero,es ESP,GK,20-240,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Egoitz Muñoz,es ESP,DF,21-114,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Xanet Olaiz,es ESP,DF,20-311,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Paco Sanz,es ESP,DF,21-161,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Grégoire Swiderski,ca CAN,GK,20-202,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Deportivo Alaves,0
Unai Simón,es ESP,GK,28-318,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,32
Mikel Jauregizar,es ESP,MF,22-163,,30,"2,514",27.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches,2025-2026,Athletic Club,31
Yuri Berchiche,es ESP,DF,36-074,,27,"2,373",26.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2025-2026,Athletic Club,28
Iñigo Ruiz de Galarreta,es ESP,MF,32-262,,26,"1,881",20.9,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2025-2026,Athletic Club,29
Daniel Vivian,es ESP,DF,26-284,,25,"2,294",25.5,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,2025-2026,Athletic Club,27
Álex Berenguer,es ESP,MF,30-295,,23,"1,936",21.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.09,0.14,0.23,0.09,0.23,Matches,2025-2026,Athletic Club,27
Gorka Guruzeta,es ESP,FW,29-225,,23,"1,911",21.2,8.0,1.0,9.0,7.0,1.0,1.0,5.0,1.0,0.38,0.05,0.42,0.33,0.38,Matches,2025-2026,Athletic Club,29
Oihan Sancet,es ESP,MF,26-000,,21,"1,651",18.3,3.0,0.0,3.0,1.0,2.0,2.0,4.0,1.0,0.16,0.0,0.16,0.05,0.05,Matches,2025-2026,Athletic Club,25
