Player,Nationality,Position,Age,Matches_Played,Minutes_Played,Minutes_Per_Match,Minutes_Percentage,Ninety_Minutes_Played,Games_Started,Minutes_Per_Start,Complete_Matches,Substitute_Appearances,Minutes_Per_Sub,Unused_Sub_Appearances,Points_Per_Match,Goals_Scored_On_Pitch,Goals_Allowed_On_Pitch,Plus_Minus,Plus_Minus_Per_90,On_Off_Per_90,Matches,Season,Team,MP
Kiké,es ESP,FW,36-151,,"1,530",49.0,53.1,17.0,15,76.0,5,16,25.0,1,1.13,25.0,24.0,1.0,0.06,0.93,Matches,2025-2026,RCD Espanyol,31
Clemens Riedel,de GER,DF,22-280,,"1,216",68.0,42.2,13.5,14,81.0,9,4,20.0,10,1.0,17.0,21.0,-4.0,-0.3,0.14,Matches,2025-2026,RCD Espanyol,18
Jofre,es ESP,MF,24-312,,797,36.0,27.7,8.9,8,61.0,0,14,22.0,10,1.09,9.0,18.0,-9.0,-1.02,-0.89,Matches,2025-2026,RCD Espanyol,22
Ramón Terrats,es ESP,MF,25-189,,775,32.0,26.9,8.6,8,64.0,0,16,17.0,4,1.04,8.0,18.0,-10.0,-1.16,-1.08,Matches,2025-2026,RCD Espanyol,24
Javi Puado,es ESP,"MF,FW",27-335,,674,67.0,23.4,7.5,8,83.0,3,2,7.0,0,1.3,10.0,13.0,-3.0,-0.4,-0.03,Matches,2025-2026,RCD Espanyol,10
Cyril Ngonge,be BEL,MF,25-334,,367,46.0,12.7,4.1,5,60.0,0,3,22.0,2,0.38,4.0,8.0,-4.0,-0.98,-0.69,Matches,2025-2026,RCD Espanyol,8
Charles Pickel,cd COD,MF,28-345,,609,32.0,21.1,6.8,4,64.0,1,15,24.0,6,1.21,6.0,9.0,-3.0,-0.44,-0.09,Matches,2025-2026,RCD Espanyol,19
Rubén,es ESP,DF,25-080,,532,33.0,18.5,5.9,4,82.0,2,12,17.0,16,1.25,8.0,8.0,0.0,0.0,0.46,Matches,2025-2026,RCD Espanyol,16
José Salinas,es ESP,DF,25-207,,241,24.0,8.4,2.7,2,90.0,2,8,8.0,22,1.7,2.0,7.0,-5.0,-1.87,-1.63,Matches,2025-2026,RCD Espanyol,10
Miguel Ángel Rubio,es ESP,DF,28-045,,206,17.0,7.2,2.3,1,90.0,1,11,11.0,20,1.17,4.0,5.0,-1.0,-0.44,-0.07,Matches,2025-2026,RCD Espanyol,12
Antoniu,es ESP,MF,23-232,,115,14.0,4.0,1.3,1,45.0,0,7,10.0,21,1.0,3.0,3.0,0.0,0.0,0.39,Matches,2025-2026,RCD Espanyol,8
Luca Koleosho,it ITA,MF,21-222,,63,21.0,2.2,0.7,0,,0,3,21.0,12,1.0,0.0,0.0,0.0,0.0,0.38,Matches,2025-2026,RCD Espanyol,3
Rafael Bauza,es ESP,MF,21-085,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Espanyol,0
Lluc Castell,es ESP,FW,19-218,,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,RCD Espanyol,0
Fortuño,es ESP,GK,24-202,,,,,,0,,0,0,,32,,,,,,,Matches,2025-2026,RCD Espanyol,0
Ferran Gómez,es ESP,MF,20-033,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,RCD Espanyol,0
Javier Hernández,es ESP,MF,22-085,,,,,,0,,0,0,,12,,,,,,,Matches,2025-2026,RCD Espanyol,0
Roger Hinojo,es ESP,DF,21-063,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Espanyol,0
Miguel Londoño,es ESP,MF,19-114,,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,RCD Espanyol,0
Pablo Ramon,es ESP,DF,24-299,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Espanyol,0
Llorenç Serred,es ESP,GK,20-233,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Espanyol,0
Adama Timera,fr FRA,DF,21-016,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Espanyol,0
Pol Tristán,es ESP,GK,24-038,,,,,,0,,0,0,,16,,,,,,,Matches,2025-2026,RCD Espanyol,0
David Soria,es ESP,GK,33-021,,"2,880",90.0,100.0,32.0,32,90.0,32,0,,0,1.38,28.0,32.0,-4.0,-0.12,,Matches,2025-2026,Getafe CF,32
Luis Milla,es ESP,MF,31-200,,"2,743",88.0,95.2,30.5,31,88.0,26,0,,0,1.42,28.0,29.0,-1.0,-0.03,1.94,Matches,2025-2026,Getafe CF,31
Mauro Arambarri,uy URU,MF,30-207,,"2,719",88.0,94.4,30.2,31,88.0,26,0,,0,1.42,28.0,31.0,-3.0,-0.1,0.46,Matches,2025-2026,Getafe CF,31
Iglesias,es ESP,"DF,MF",27-296,,"2,650",85.0,92.0,29.4,30,88.0,26,1,24.0,1,1.42,24.0,28.0,-4.0,-0.14,-0.14,Matches,2025-2026,Getafe CF,31
Domingos Duarte,pt POR,DF,31-046,,"2,402",86.0,83.4,26.7,28,86.0,22,0,,1,1.32,22.0,29.0,-7.0,-0.26,-0.83,Matches,2025-2026,Getafe CF,28
Djené,tg TOG,"DF,MF",34-115,,"2,305",77.0,80.0,25.6,28,80.0,20,2,30.0,0,1.37,21.0,25.0,-4.0,-0.16,-0.16,Matches,2025-2026,Getafe CF,30
Kiko Femenía,es ESP,"DF,MF",35-082,,"1,918",74.0,66.6,21.3,24,77.0,8,2,30.0,1,1.35,20.0,22.0,-2.0,-0.09,0.09,Matches,2025-2026,Getafe CF,26
Mario Martín,es ESP,"MF,FW",22-051,,"1,728",58.0,60.0,19.2,21,69.0,4,9,32.0,0,1.27,15.0,23.0,-8.0,-0.42,-0.73,Matches,2025-2026,Getafe CF,30
Adrián Liso,es ESP,"FW,MF",21-023,,"1,576",61.0,54.7,17.5,19,76.0,4,7,18.0,2,1.35,12.0,17.0,-5.0,-0.29,-0.35,Matches,2025-2026,Getafe CF,26
Diego Rico,es ESP,DF,33-061,,"1,713",63.0,59.5,19.0,18,86.0,15,9,18.0,4,1.46,17.0,22.0,-5.0,-0.26,-0.34,Matches,2025-2026,Getafe CF,27
Abdel Abqar,ma MAR,DF,27-046,,"1,151",64.0,40.0,12.8,14,74.0,5,4,30.0,0,1.28,14.0,12.0,2.0,0.16,0.47,Matches,2025-2026,Getafe CF,18
Martin Satriano,uy URU,"FW,MF",25-064,,"1,153",89.0,40.0,12.8,13,89.0,9,0,,0,1.77,13.0,7.0,6.0,0.47,0.99,Matches,2025-2026,Getafe CF,13
Borja Mayoral,es ESP,FW,29-020,,"1,041",74.0,36.1,11.6,12,81.0,6,2,34.0,2,1.0,9.0,15.0,-6.0,-0.52,-0.62,Matches,2025-2026,Getafe CF,14
Luis Vázquez,ar ARG,FW,25-001,,916,76.0,31.8,10.2,12,76.0,1,0,,0,1.92,11.0,4.0,7.0,0.69,1.19,Matches,2025-2026,Getafe CF,12
Zaid Romero,ar ARG,DF,26-131,,989,90.0,34.3,11.0,11,90.0,10,0,,0,1.82,12.0,6.0,6.0,0.55,1.02,Matches,2025-2026,Getafe CF,11
Álex Sancris,es ESP,"MF,FW",29-097,,630,42.0,21.9,7.0,5,73.0,0,10,27.0,12,0.67,7.0,8.0,-1.0,-0.14,-0.02,Matches,2025-2026,Getafe CF,15
Javier Muñoz,es ESP,"MF,FW",31-056,,512,34.0,17.8,5.7,4,80.0,0,11,18.0,13,1.07,2.0,7.0,-5.0,-0.88,-0.92,Matches,2025-2026,Getafe CF,15
Davinchi,es ESP,DF,18-191,,450,56.0,15.6,5.0,4,82.0,3,4,31.0,3,1.38,5.0,6.0,-1.0,-0.2,-0.09,Matches,2025-2026,Getafe CF,8
Allan Nyom,cm CMR,DF,37-350,,300,25.0,10.4,3.3,4,64.0,1,8,6.0,12,1.54,4.0,7.0,-3.0,-0.9,-0.87,Matches,2025-2026,Getafe CF,12
