Player,Nationality,Position,Age,Matches_Played,Minutes_Played,Minutes_Per_Match,Minutes_Percentage,Ninety_Minutes_Played,Games_Started,Minutes_Per_Start,Complete_Matches,Substitute_Appearances,Minutes_Per_Sub,Unused_Sub_Appearances,Points_Per_Match,Goals_Scored_On_Pitch,Goals_Allowed_On_Pitch,Plus_Minus,Plus_Minus_Per_90,On_Off_Per_90,Matches,Season,Team,MP
Paco Cortés,es ESP,"MF,FW",18-257,11.0,413,38.0,14.3,4.6,3,78.0,0,8,23.0,7,1.09,5.0,6.0,-1.0,-0.22,0.22,Matches,2025-2026,Levante UD,11
Goduine Koyalipou,cf CTA,FW,26-069,11.0,247,22.0,8.6,2.7,2,51.0,0,9,16.0,3,0.82,2.0,5.0,-3.0,-1.09,-0.75,Matches,2025-2026,Levante UD,11
Pablo Cuñat,es ESP,GK,23-362,2.0,180,90.0,6.3,2.0,2,90.0,2,0,,30,0.0,3.0,5.0,-2.0,-1.0,-0.63,Matches,2025-2026,Levante UD,2
José Luis Morales,es ESP,MF,38-276,19.0,338,18.0,11.7,3.8,1,58.0,0,18,16.0,10,0.89,8.0,7.0,1.0,0.27,0.76,Matches,2025-2026,Levante UD,19
Nacho Pérez,es ESP,DF,17-236,2.0,80,40.0,2.8,0.9,1,77.0,0,1,3.0,17,0.0,0.0,1.0,-1.0,-1.13,-0.74,Matches,2025-2026,Levante UD,2
Tay Abed,il ISR,MF,22-048,4.0,40,10.0,1.4,0.4,0,,0,4,10.0,8,1.0,1.0,2.0,-1.0,-2.25,-1.87,Matches,2025-2026,Levante UD,4
Sergio Lozano,es ESP,MF,27-032,1.0,12,12.0,0.4,0.1,0,,0,1,12.0,2,0.0,0.0,1.0,-1.0,-7.5,-7.12,Matches,2025-2026,Levante UD,1
Ruiz Agustina,es ESP,MF,23-073,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Levante UD,0
Dani Cervera,es ESP,MF,23-041,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Levante UD,0
Martín Krug,pa PAN,DF,19-290,0.0,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Levante UD,0
Huseini Nakoha,,DF,,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Levante UD,0
Alejandro Primo,es ESP,GK,21-289,0.0,,,,,0,,0,0,,19,,,,,,,Matches,2025-2026,Levante UD,0
Cayetano Romero,es ESP,GK,21-058,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Levante UD,0
Martin Valjent,sk SVK,DF,30-135,31.0,"2,790",90.0,96.9,31.0,31,90.0,31,0,,0,1.03,37.0,49.0,-12.0,-0.39,-3.39,Matches,2025-2026,RCD Mallorca,31
Vedat Muriqi,xk KVX,FW,32-001,31.0,"2,588",83.0,89.9,28.8,30,86.0,20,1,17.0,0,1.1,37.0,43.0,-6.0,-0.21,0.72,Matches,2025-2026,RCD Mallorca,31
Leo Román,es ESP,GK,25-293,27.0,"2,430",90.0,84.4,27.0,27,90.0,27,0,,0,1.11,36.0,42.0,-6.0,-0.22,0.38,Matches,2025-2026,RCD Mallorca,27
Johan Mojica,co COL,DF,33-247,31.0,"2,404",78.0,83.5,26.7,26,89.0,22,5,17.0,0,1.13,34.0,40.0,-6.0,-0.22,0.34,Matches,2025-2026,RCD Mallorca,31
Samu Costa,pt POR,MF,25-149,29.0,"2,276",78.0,79.0,25.3,26,84.0,14,3,31.0,0,1.07,28.0,37.0,-9.0,-0.36,-0.36,Matches,2025-2026,RCD Mallorca,29
Pablo Maffeo,es ESP,DF,28-287,26.0,"2,218",85.0,77.0,24.6,25,87.0,16,1,45.0,1,1.11,31.0,34.0,-3.0,-0.12,0.69,Matches,2025-2026,RCD Mallorca,26
Sergi Darder,es ESP,MF,32-124,32.0,"2,187",68.0,75.9,24.3,24,82.0,10,8,27.0,0,1.09,30.0,35.0,-5.0,-0.21,0.31,Matches,2025-2026,RCD Mallorca,32
Antonio Raillo,es ESP,DF,34-199,23.0,"2,032",88.0,70.6,22.6,23,88.0,22,0,,5,0.96,24.0,32.0,-8.0,-0.35,-0.25,Matches,2025-2026,RCD Mallorca,23
Omar Mascarell,gq EQG,"MF,DF",33-082,25.0,"1,827",73.0,63.4,20.3,21,81.0,13,4,32.0,4,1.16,27.0,29.0,-2.0,-0.1,0.5,Matches,2025-2026,RCD Mallorca,25
Mateo Joseph,es ESP,"MF,FW",22-188,29.0,"1,699",59.0,59.0,18.9,19,76.0,4,10,25.0,1,1.03,24.0,29.0,-5.0,-0.26,0.04,Matches,2025-2026,RCD Mallorca,29
Jan Virgili,es ESP,"MF,FW",19-273,25.0,"1,530",61.0,53.1,17.0,17,79.0,4,8,23.0,0,1.12,24.0,25.0,-1.0,-0.06,0.47,Matches,2025-2026,RCD Mallorca,25
Manu Morlanes,es ESP,MF,27-103,26.0,"1,352",52.0,46.9,15.0,17,70.0,1,9,18.0,2,1.15,20.0,24.0,-4.0,-0.27,0.03,Matches,2025-2026,RCD Mallorca,26
Pablo Torre,es ESP,"MF,FW",23-022,29.0,"1,201",41.0,41.7,13.3,14,68.0,1,15,16.0,3,1.07,17.0,22.0,-5.0,-0.37,-0.16,Matches,2025-2026,RCD Mallorca,29
Antonio Sánchez,es ESP,"MF,DF",29-114,27.0,"1,000",37.0,34.7,11.1,9,75.0,1,18,18.0,4,1.15,13.0,21.0,-8.0,-0.72,-0.67,Matches,2025-2026,RCD Mallorca,27
Mateu Morey,es ESP,"DF,MF",26-054,16.0,629,39.0,21.8,7.0,8,69.0,2,8,10.0,15,1.0,7.0,17.0,-10.0,-1.43,-1.47,Matches,2025-2026,RCD Mallorca,16
Takuma Asano,jp JPN,"MF,FW",31-166,17.0,557,33.0,19.3,6.2,7,60.0,0,10,14.0,6,1.24,6.0,10.0,-4.0,-0.65,-0.45,Matches,2025-2026,RCD Mallorca,17
David López,es ESP,DF,23-081,9.0,585,65.0,20.3,6.5,6,85.0,5,3,25.0,23,1.22,10.0,13.0,-3.0,-0.46,-0.23,Matches,2025-2026,RCD Mallorca,9
Toni Lato,es ESP,"DF,MF",28-155,9.0,465,52.0,16.1,5.2,6,75.0,1,3,4.0,15,0.33,6.0,10.0,-4.0,-0.77,-0.59,Matches,2025-2026,RCD Mallorca,9
Lucas Bergström,fi FIN,GK,23-232,5.0,450,90.0,15.6,5.0,5,90.0,5,0,,22,1.0,4.0,7.0,-3.0,-0.6,-0.38,Matches,2025-2026,RCD Mallorca,5
Marash Kumbulla,al ALB,DF,26-076,8.0,439,55.0,15.2,4.9,5,70.0,3,3,30.0,7,1.13,7.0,8.0,-1.0,-0.21,0.09,Matches,2025-2026,RCD Mallorca,8
Zito Luvumbo,ao ANG,"FW,MF",24-047,6.0,280,47.0,9.7,3.1,3,68.0,0,3,25.0,3,1.5,6.0,1.0,5.0,1.61,2.09,Matches,2025-2026,RCD Mallorca,6
Marc Domenech,es ESP,MF,20-114,7.0,214,31.0,7.4,2.4,2,61.0,0,5,18.0,10,0.86,3.0,2.0,1.0,0.42,0.76,Matches,2025-2026,RCD Mallorca,7
Javier Llabrés,es ESP,MF,23-226,15.0,174,12.0,6.0,1.9,1,61.0,0,14,8.0,13,0.8,3.0,4.0,-1.0,-0.52,-0.25,Matches,2025-2026,RCD Mallorca,15
Abdón Prats,es ESP,FW,33-139,11.0,103,9.0,3.6,1.1,0,,0,11,9.0,19,1.55,3.0,1.0,2.0,1.75,2.1,Matches,2025-2026,RCD Mallorca,11
Dani Rodríguez,es ESP,"FW,MF",37-323,2.0,68,34.0,2.4,0.8,0,,0,2,34.0,1,0.5,1.0,1.0,0.0,0.0,0.29,Matches,2025-2026,RCD Mallorca,2
Justin-Noël Kalumba,fr FRA,FW,21-121,2.0,36,18.0,1.3,0.4,0,,0,2,18.0,11,1.5,2.0,0.0,2.0,5.0,5.35,Matches,2025-2026,RCD Mallorca,2
Jan Salas,es ESP,MF,20-258,2.0,17,9.0,0.6,0.2,0,,0,2,9.0,0,0.5,1.0,1.0,0.0,0.0,0.28,Matches,2025-2026,RCD Mallorca,2
Iván Cuéllar,es ESP,GK,41-333,0.0,,,,,0,,0,0,,25,,,,,,,Matches,2025-2026,RCD Mallorca,0
Jandro García,es ESP,MF,20-061,0.0,,,,,0,,0,0,,4,,,,,,,Matches,2025-2026,RCD Mallorca,0
Daniel Luna,co COL,MF,22-353,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,RCD Mallorca,0
Javier Olaizola,es ESP,DF,19-041,0.0,,,,,0,,0,0,,10,,,,,,,Matches,2025-2026,RCD Mallorca,0
Cesc Riba,es ESP,MF,19-285,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,RCD Mallorca,0
Iliesse Salhi,fr FRA,MF,18-272,0.0,,,,,0,,0,0,,16,,,,,,,Matches,2025-2026,RCD Mallorca,0
Leo Sãnchez,es ESP,DF,20-029,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,RCD Mallorca,0
Nil Torreguitart,es ESP,GK,24-216,0.0,,,,,0,,0,0,,4,,,,,,,Matches,2025-2026,RCD Mallorca,0
Rareș Vlad,ro ROU,GK,20-109,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,RCD Mallorca,0
Sergio Herrera,es ESP,GK,32-324,,"2,880",90.0,100.0,32.0,32,90.0,32,0,,0,1.22,37.0,39.0,-2.0,-0.06,,Matches,2025-2026,CA Osasuna,32
Catena,es ESP,DF,31-179,,"2,531",87.0,87.9,28.1,29,87.0,26,0,,0,1.21,30.0,34.0,-4.0,-0.14,-0.66,Matches,2025-2026,CA Osasuna,29
Jon Moncayola,es ESP,MF,27-347,,"2,525",84.0,87.7,28.1,29,86.0,18,1,25.0,0,1.1,28.0,35.0,-7.0,-0.25,-1.52,Matches,2025-2026,CA Osasuna,30
Víctor Muñoz,es ESP,"MF,FW",22-286,,"2,477",77.0,86.0,27.5,29,82.0,14,3,34.0,0,1.22,30.0,29.0,1.0,0.04,0.71,Matches,2025-2026,CA Osasuna,32
Ante Budimir,hr CRO,FW,34-277,,"2,448",79.0,85.0,27.2,29,83.0,14,2,22.0,0,1.26,28.0,30.0,-2.0,-0.07,-0.07,Matches,2025-2026,CA Osasuna,31
Lucas Torró,es ESP,MF,31-280,,"1,985",68.0,68.9,22.1,27,73.0,12,2,1.0,1,1.14,23.0,30.0,-7.0,-0.32,-0.82,Matches,2025-2026,CA Osasuna,29
Valentin Rosier,fr FRA,"DF,MF",29-249,,"2,020",81.0,70.1,22.4,24,83.0,17,1,22.0,1,1.32,22.0,26.0,-4.0,-0.18,-0.39,Matches,2025-2026,CA Osasuna,25
Enzo Boyomo,cm CMR,DF,24-200,,"2,002",83.0,69.5,22.2,23,86.0,19,1,18.0,2,1.21,25.0,28.0,-3.0,-0.13,-0.24,Matches,2025-2026,CA Osasuna,24
Rubén García,es ESP,"MF,FW",32-285,,"1,842",64.0,64.0,20.5,23,72.0,3,6,31.0,0,1.31,23.0,22.0,1.0,0.05,0.31,Matches,2025-2026,CA Osasuna,29
Aimar Oroz,es ESP,"MF,FW",24-149,,"1,856",74.0,64.4,20.6,22,80.0,6,3,29.0,0,1.4,20.0,22.0,-2.0,-0.1,-0.1,Matches,2025-2026,CA Osasuna,25
Jorge Herrando,es ESP,DF,25-056,,"1,533",57.0,53.2,17.0,16,80.0,9,11,23.0,5,1.22,17.0,25.0,-8.0,-0.47,-0.87,Matches,2025-2026,CA Osasuna,27
Abel Bretones,es ESP,"MF,DF",25-247,,"1,431",62.0,49.7,15.9,15,89.0,11,8,12.0,6,1.3,18.0,21.0,-3.0,-0.19,-0.25,Matches,2025-2026,CA Osasuna,23
Javi Galán,es ESP,DF,31-157,,"1,320",88.0,45.8,14.7,15,88.0,13,0,,0,1.4,18.0,19.0,-1.0,-0.07,-0.01,Matches,2025-2026,CA Osasuna,15
Moi Gómez,es ESP,MF,31-306,,987,47.0,34.3,11.0,10,79.0,3,11,18.0,9,0.95,13.0,13.0,0.0,0.0,0.1,Matches,2025-2026,CA Osasuna,21
Juan Cruz Armada,es ESP,DF,33-271,,649,43.0,22.5,7.2,7,74.0,2,8,17.0,14,1.27,10.0,7.0,3.0,0.42,0.62,Matches,2025-2026,CA Osasuna,15
Iker Muñoz,es ESP,MF,23-171,,788,49.0,27.4,8.8,6,80.0,2,10,31.0,16,1.38,10.0,9.0,1.0,0.11,0.24,Matches,2025-2026,CA Osasuna,16
Raúl,es ESP,FW,25-173,,817,27.0,28.4,9.1,5,84.0,4,25,16.0,1,1.2,13.0,15.0,-2.0,-0.22,-0.22,Matches,2025-2026,CA Osasuna,30
Raúl Moro,es ESP,MF,23-141,,379,42.0,13.2,4.2,4,68.0,0,5,21.0,3,1.11,7.0,6.0,1.0,0.24,0.35,Matches,2025-2026,CA Osasuna,9
Kike Barja,es ESP,MF,29-024,,349,16.0,12.1,3.9,2,56.0,0,20,12.0,10,0.86,13.0,5.0,8.0,2.06,2.42,Matches,2025-2026,CA Osasuna,22
Asier Osambela,es ESP,DF,22-076,,300,23.0,10.4,3.3,2,76.0,0,11,14.0,16,1.5,8.0,7.0,1.0,0.3,0.4,Matches,2025-2026,CA Osasuna,13
Iñigo Arguibide,es ESP,DF,21-006,,187,31.0,6.5,2.1,2,68.0,0,4,13.0,15,1.67,6.0,1.0,5.0,2.41,2.64,Matches,2025-2026,CA Osasuna,6
Iker Benito,es ESP,MF,23-258,,150,30.0,5.2,1.7,1,71.0,0,4,20.0,3,0.8,2.0,1.0,1.0,0.6,0.7,Matches,2025-2026,CA Osasuna,5
Sheraldo Becker,sr SUR,"FW,MF",31-075,,158,18.0,5.5,1.8,0,,0,9,18.0,9,0.56,1.0,4.0,-3.0,-1.71,-1.74,Matches,2025-2026,CA Osasuna,9
Aitor Fernández,es ESP,GK,34-357,,,,0.0,0.0,0,,0,0,,30,0.0,1.0,4.0,-3.0,,,Matches,2025-2026,CA Osasuna,0
Raúl Chasco,es ESP,DF,22-224,,,,,,0,,0,0,,4,,,,,,,Matches,2025-2026,CA Osasuna,0
Mauro Echegoyen,es ESP,MF,21-053,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,CA Osasuna,0
Martín Espinal,es ESP,FW,22-250,,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,CA Osasuna,0
Mikel Serrano García,es ESP,DF,22-313,,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,CA Osasuna,0
Dimitrios Stamatakis,gr GRE,GK,23-002,,,,,,0,,0,0,,11,,,,,,,Matches,2025-2026,CA Osasuna,0
Aarón Escandell,es ESP,GK,30-210,32.0,"2,880",90.0,100.0,32.0,32,90.0,32,0,,0,0.88,25.0,49.0,-24.0,-0.75,,Matches,2025-2026,Real Oviedo,32
Ilyas Chaira,ma MAR,MF,25-082,30.0,"2,016",67.0,70.0,22.4,25,74.0,7,5,31.0,0,0.93,21.0,30.0,-9.0,-0.4,1.16,Matches,2025-2026,Real Oviedo,30
Alberto Reina,es ESP,MF,28-228,31.0,"1,922",62.0,66.7,21.4,25,72.0,3,6,22.0,0,0.9,20.0,32.0,-12.0,-0.56,0.57,Matches,2025-2026,Real Oviedo,31
Federico Viñas,uy URU,"FW,MF",27-299,28.0,"2,018",72.0,70.1,22.4,23,82.0,10,5,26.0,0,0.96,19.0,30.0,-11.0,-0.49,0.87,Matches,2025-2026,Real Oviedo,28
Nacho Vidal,es ESP,DF,31-091,23.0,"1,849",80.0,64.2,20.5,22,83.0,15,1,25.0,2,0.96,17.0,25.0,-8.0,-0.39,1.01,Matches,2025-2026,Real Oviedo,23
Santiago Colombatto,ar ARG,MF,29-098,27.0,"1,769",66.0,61.4,19.7,19,83.0,7,8,23.0,3,0.89,12.0,27.0,-15.0,-0.76,-0.03,Matches,2025-2026,Real Oviedo,27
David Carmo,ao ANG,DF,26-280,21.0,"1,722",82.0,59.8,19.1,19,88.0,17,2,25.0,5,0.62,14.0,33.0,-19.0,-0.99,-0.6,Matches,2025-2026,Real Oviedo,21
Kwasi Sibo,gh GHA,MF,27-305,23.0,"1,532",67.0,53.2,17.0,19,77.0,9,4,19.0,8,0.96,16.0,24.0,-8.0,-0.47,0.6,Matches,2025-2026,Real Oviedo,23
David Costas,es ESP,DF,31-030,20.0,"1,627",81.0,56.5,18.1,18,89.0,17,2,10.0,4,1.1,12.0,27.0,-15.0,-0.83,-0.18,Matches,2025-2026,Real Oviedo,20
Haissem Hassan,eg EGY,"MF,FW",24-076,31.0,"1,657",53.0,57.5,18.4,17,73.0,3,14,30.0,1,0.87,11.0,27.0,-16.0,-0.87,-0.28,Matches,2025-2026,Real Oviedo,31
Javi López,es ESP,DF,24-031,20.0,"1,438",72.0,49.9,16.0,17,83.0,10,3,11.0,7,1.0,16.0,22.0,-6.0,-0.38,0.75,Matches,2025-2026,Real Oviedo,20
Rahim Bonkano,ne NIG,DF,24-114,23.0,"1,456",63.0,50.6,16.2,15,88.0,13,8,17.0,7,0.87,9.0,27.0,-18.0,-1.11,-0.73,Matches,2025-2026,Real Oviedo,23
Leander Dendoncker,be BEL,MF,31-010,19.0,"1,330",70.0,46.2,14.8,15,86.0,8,4,11.0,5,0.79,7.0,25.0,-18.0,-1.22,-0.87,Matches,2025-2026,Real Oviedo,19
Dani Calvo,es ESP,DF,32-024,16.0,"1,251",78.0,43.4,13.9,13,90.0,13,3,27.0,15,1.12,9.0,17.0,-8.0,-0.58,0.31,Matches,2025-2026,Real Oviedo,16
Salomón Rondón,ve VEN,FW,36-221,16.0,"1,032",65.0,35.8,11.5,13,75.0,4,3,18.0,1,0.69,6.0,17.0,-11.0,-0.96,-0.33,Matches,2025-2026,Real Oviedo,16
Eric Bailly,ci CIV,DF,32-013,12.0,"1,043",87.0,36.2,11.6,12,87.0,11,0,,13,1.08,13.0,17.0,-4.0,-0.35,0.63,Matches,2025-2026,Real Oviedo,12
Lucas Ahijado,es ESP,DF,31-085,15.0,972,65.0,33.8,10.8,10,83.0,7,5,29.0,10,0.6,8.0,20.0,-12.0,-1.11,-0.55,Matches,2025-2026,Real Oviedo,15
Luka Ilić,rs SRB,"MF,FW",26-297,18.0,714,40.0,24.8,7.9,8,68.0,1,10,17.0,7,0.72,6.0,14.0,-8.0,-1.01,-0.34,Matches,2025-2026,Real Oviedo,18
Nicolas Fonseca,uy URU,MF,27-188,14.0,676,48.0,23.5,7.5,7,72.0,1,7,25.0,0,1.14,12.0,13.0,-1.0,-0.13,0.81,Matches,2025-2026,Real Oviedo,14
Thiago Fernández,ar ARG,MF,22-022,11.0,533,48.0,18.5,5.9,6,66.0,0,5,28.0,0,1.36,11.0,12.0,-1.0,-0.17,0.71,Matches,2025-2026,Real Oviedo,11
Josip Brekalo,hr CRO,"MF,FW",27-306,14.0,486,35.0,16.9,5.4,6,58.0,0,8,18.0,3,0.71,1.0,14.0,-13.0,-2.41,-1.99,Matches,2025-2026,Real Oviedo,14
Santi Cazorla,es ESP,MF,41-133,22.0,655,30.0,22.7,7.3,4,72.0,0,18,20.0,4,0.82,3.0,12.0,-9.0,-1.24,-0.63,Matches,2025-2026,Real Oviedo,22
Oier Luengo,es ESP,DF,28-165,3.0,225,75.0,7.8,2.5,3,75.0,2,0,,12,0.25,2.0,6.0,-4.0,-1.6,-0.92,Matches,2025-2026,Real Oviedo,3
Álex Forés,es ESP,FW,25-013,15.0,296,20.0,10.3,3.3,2,66.0,0,13,13.0,13,0.33,1.0,7.0,-6.0,-1.82,-1.2,Matches,2025-2026,Real Oviedo,15
Ovie Ejaria,eng ENG,MF,28-158,8.0,200,25.0,6.9,2.2,2,54.0,0,6,15.0,3,0.75,2.0,3.0,-1.0,-0.45,0.32,Matches,2025-2026,Real Oviedo,8
Thiago Borbas,uy URU,FW,24-018,7.0,89,13.0,3.1,1.0,0,,0,7,13.0,4,1.14,1.0,3.0,-2.0,-2.02,-1.31,Matches,2025-2026,Real Oviedo,7
Pablo Agudín,es ESP,MF,18-168,6.0,78,13.0,2.7,0.9,0,,0,6,13.0,16,0.5,0.0,2.0,-2.0,-2.31,-1.6,Matches,2025-2026,Real Oviedo,6
Marco Esteban,es ESP,DF,20-114,1.0,45,45.0,1.6,0.5,0,,0,1,45.0,3,0.0,0.0,0.0,0.0,0.0,0.76,Matches,2025-2026,Real Oviedo,1
Omar Falah,es ESP,DF,22-228,1.0,14,14.0,0.5,0.2,0,,0,1,14.0,3,0.0,0.0,0.0,0.0,0.0,0.75,Matches,2025-2026,Real Oviedo,1
Borja Sánchez Laborde,es ESP,MF,30-058,1.0,14,14.0,0.5,0.2,0,,0,1,14.0,0,0.0,0.0,0.0,0.0,0.0,0.75,Matches,2025-2026,Real Oviedo,1
Álex Cardero,es ESP,MF,22-243,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Real Oviedo,0
Cheli,es ESP,MF,20-294,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Real Oviedo,0
Brandon Domingues,fr FRA,MF,25-323,0.0,,,,,0,,0,0,,9,,,,,,,Matches,2025-2026,Real Oviedo,0
Diego Espinosa,es ESP,DF,21-297,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Real Oviedo,0
Adri Fernández,es ESP,DF,20-188,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Real Oviedo,0
Lamine Gueye,sn SEN,FW,21-222,0.0,,,,,0,,0,0,,7,,,,,,,Matches,2025-2026,Real Oviedo,0
Diego Menéndez,es ESP,MF,21-114,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Real Oviedo,0
Horaţiu Moldovan,ro ROU,GK,28-095,0.0,,,,,0,,0,0,,32,,,,,,,Matches,2025-2026,Real Oviedo,0
Miguel Narváez,es ESP,GK,23-361,0.0,,,,,0,,0,0,,8,,,,,,,Matches,2025-2026,Real Oviedo,0
Florian Lejeune,fr FRA,DF,34-340,,"2,780",90.0,96.5,30.9,31,90.0,30,0,,0,1.13,29.0,38.0,-9.0,-0.29,-1.19,Matches,2025-2026,Rayo Vallecano,31
Augusto Batalla,ar ARG,GK,29-360,,"2,700",90.0,93.8,30.0,30,90.0,30,0,,1,1.23,30.0,35.0,-5.0,-0.17,1.33,Matches,2025-2026,Rayo Vallecano,30
Andrei Ratiu,ro ROU,DF,27-309,,"2,493",86.0,86.6,27.7,28,88.0,27,1,26.0,0,1.31,28.0,27.0,1.0,0.04,2.13,Matches,2025-2026,Rayo Vallecano,29
Jorge de Frutos,es ESP,"FW,MF",29-064,,"2,136",71.0,74.2,23.7,28,74.0,5,2,39.0,1,1.27,25.0,22.0,3.0,0.13,1.46,Matches,2025-2026,Rayo Vallecano,30
Isaac Palazón Camacho,es ESP,"MF,FW",31-119,,"2,181",73.0,75.7,24.2,26,80.0,8,4,28.0,1,1.23,21.0,26.0,-5.0,-0.21,0.18,Matches,2025-2026,Rayo Vallecano,30
Pep Chavarría,es ESP,DF,28-015,,"2,309",82.0,80.2,25.7,25,90.0,23,3,23.0,3,1.14,23.0,29.0,-6.0,-0.23,0.08,Matches,2025-2026,Rayo Vallecano,28
Álvaro García,es ESP,"MF,FW",33-180,,"2,056",66.0,71.4,22.8,22,81.0,7,9,31.0,0,1.13,21.0,28.0,-7.0,-0.31,-0.2,Matches,2025-2026,Rayo Vallecano,31
Óscar Valentín,es ESP,MF,31-248,,"1,808",65.0,62.8,20.1,22,76.0,9,6,23.0,3,1.25,15.0,16.0,-1.0,-0.05,0.54,Matches,2025-2026,Rayo Vallecano,28
Pedro Díaz,es ESP,"MF,FW",27-324,,"1,581",55.0,54.9,17.6,18,76.0,7,11,20.0,0,1.24,19.0,28.0,-9.0,-0.51,-0.58,Matches,2025-2026,Rayo Vallecano,29
Nobel Mendy,sn SEN,DF,21-234,,"1,461",77.0,50.7,16.2,18,78.0,9,1,51.0,6,1.11,15.0,21.0,-6.0,-0.37,-0.24,Matches,2025-2026,Rayo Vallecano,19
Pathé Ciss,sn SEN,"MF,DF",32-040,,"1,578",69.0,54.8,17.5,16,88.0,13,7,25.0,0,1.13,15.0,20.0,-5.0,-0.29,-0.08,Matches,2025-2026,Rayo Vallecano,23
Unai López,es ESP,MF,30-177,,"1,316",57.0,45.7,14.6,16,74.0,4,7,19.0,4,1.39,15.0,10.0,5.0,0.34,1.09,Matches,2025-2026,Rayo Vallecano,23
Alfonso Espino,uy URU,"DF,MF",34-110,,"1,206",48.0,41.9,13.4,12,79.0,6,13,20.0,5,1.36,10.0,20.0,-10.0,-0.75,-0.85,Matches,2025-2026,Rayo Vallecano,25
Gerard Gumbau,es ESP,MF,31-128,,874,38.0,30.3,9.7,11,65.0,2,12,13.0,9,1.09,9.0,17.0,-8.0,-0.82,-0.82,Matches,2025-2026,Rayo Vallecano,23
Francisco Perez,es ESP,"MF,FW",23-228,,"1,094",44.0,38.0,12.2,10,67.0,0,15,28.0,4,1.12,11.0,16.0,-5.0,-0.41,-0.26,Matches,2025-2026,Rayo Vallecano,25
Alexandre Alemão,br BRA,FW,28-024,,875,44.0,30.4,9.7,9,74.0,0,11,19.0,5,1.25,6.0,10.0,-4.0,-0.41,-0.23,Matches,2025-2026,Rayo Vallecano,20
Luiz Felipe,it ITA,DF,29-034,,470,47.0,16.3,5.2,7,63.0,3,3,11.0,11,1.2,8.0,4.0,4.0,0.77,1.21,Matches,2025-2026,Rayo Vallecano,10
Ilias Akhomach,ma MAR,"MF,FW",22-009,,619,62.0,21.5,6.9,6,77.0,0,4,39.0,0,1.3,11.0,8.0,3.0,0.44,0.87,Matches,2025-2026,Rayo Vallecano,10
Carlos Martín,es ESP,"MF,FW",24-003,,310,44.0,10.8,3.4,5,60.0,0,2,5.0,6,1.0,3.0,7.0,-4.0,-1.16,-1.02,Matches,2025-2026,Rayo Vallecano,7
Sergio Camello,es ESP,FW,25-074,,499,29.0,17.3,5.5,4,71.0,1,13,17.0,9,0.67,4.0,12.0,-8.0,-1.44,-1.44,Matches,2025-2026,Rayo Vallecano,17
Iván Balliu,al ALB,DF,34-114,,333,30.0,11.6,3.7,3,66.0,1,8,17.0,18,1.18,4.0,5.0,-1.0,-0.27,-0.02,Matches,2025-2026,Rayo Vallecano,11
Jozhua Vertrouwd,nl NED,DF,21-247,,356,45.0,12.4,4.0,2,85.0,1,6,31.0,17,1.13,4.0,9.0,-5.0,-1.26,-1.16,Matches,2025-2026,Rayo Vallecano,8
Dani Cárdenas,es ESP,GK,29-028,,180,90.0,6.3,2.0,2,90.0,2,0,,27,1.5,1.0,3.0,-2.0,-1.0,-0.8,Matches,2025-2026,Rayo Vallecano,2
Randy Nteka,ao ANG,FW,28-140,,204,20.0,7.1,2.3,1,80.0,0,9,14.0,9,1.6,3.0,4.0,-1.0,-0.44,-0.21,Matches,2025-2026,Rayo Vallecano,10
Óscar Trejo,ar ARG,"FW,MF",37-364,,79,13.0,2.7,0.9,0,,0,6,13.0,20,0.57,1.0,3.0,-2.0,-2.28,-2.09,Matches,2025-2026,Rayo Vallecano,6
Pelayo Fernandez,es ESP,DF,22-361,,45,45.0,1.6,0.5,0,,0,1,45.0,2,3.0,0.0,1.0,-1.0,-2.0,-1.78,Matches,2025-2026,Rayo Vallecano,1
Samu Becerra,es ESP,MF,20-114,,12,4.0,0.4,0.1,0,,0,3,4.0,15,0.33,0.0,0.0,0.0,0.0,0.25,Matches,2025-2026,Rayo Vallecano,3
Abdul Mumin,gh GHA,DF,27-323,,10,10.0,0.3,0.1,0,,0,1,10.0,3,3.0,1.0,0.0,1.0,9.0,9.28,Matches,2025-2026,Rayo Vallecano,1
Juanpe,es ESP,GK,24-355,,,,,,0,,0,0,,7,,,,,,,Matches,2025-2026,Rayo Vallecano,0
