Player,Team,Season,Position,Age,Matches_Played,Minutes_Played,Goals,Assists,Overall_Rating
Jiří Letáček,Getafe CF,2025-2026,GK,27-106,,,,,43.1
Adrian Riquelme,Getafe CF,2025-2026,MF,20-057,,,,,43.1
Alberto Risco,Getafe CF,2025-2026,MF,20-238,,,,,43.1
Yassin Tallal,Getafe CF,2025-2026,MF,20-357,,,,,43.1
Marc Vilaplana,Getafe CF,2025-2026,DF,23-095,,,,,43.1
Vitor Reis,Girona FC,2025-2026,DF,20-103,30.0,"2,598",1.0,1.0,43.8
Paulo Gazzaniga,Girona FC,2025-2026,GK,34-113,29.0,"2,562",0.0,0.0,41.2
Daley Blind,Girona FC,2025-2026,DF,36-047,29.0,"2,465",0.0,0.0,42.8
Arnau Martinez,Girona FC,2025-2026,"DF,MF",23-000,29.0,"2,192",1.0,2.0,45.9
Vladyslav Vanat,Girona FC,2025-2026,FW,24-111,27.0,"1,942",9.0,1.0,61.5
Iván Martín,Girona FC,2025-2026,MF,27-070,30.0,"2,175",0.0,1.0,41.9
Viktor Tsyhankov,Girona FC,2025-2026,MF,28-161,26.0,"2,101",6.0,4.0,60.5
Axel Witsel,Girona FC,2025-2026,MF,37-103,26.0,"2,088",1.0,2.0,45.9
Álex Moreno,Girona FC,2025-2026,DF,32-321,26.0,"2,139",0.0,3.0,45.0
Bryan Gil,Girona FC,2025-2026,MF,25-073,24.0,"1,370",0.0,3.0,45.0
Hugo Rincón,Girona FC,2025-2026,DF,23-088,29.0,"1,659",1.0,1.0,45.4
Azzedine Ounahi,Girona FC,2025-2026,MF,26-006,18.0,"1,273",5.0,2.0,54.4
Thomas Lemar,Girona FC,2025-2026,MF,30-164,22.0,"1,074",3.0,1.0,50.6
Joel Roca,Girona FC,2025-2026,MF,20-322,26.0,"1,066",2.0,1.0,47.1
Fran Beltrán,Girona FC,2025-2026,MF,27-081,12.0,753,1.0,0.0,43.1
Alejandro Francés,Girona FC,2025-2026,DF,23-267,19.0,726,0.0,1.0,43.1
Yaser Asprilla,Girona FC,2025-2026,"FW,MF",22-157,15.0,611,0.0,0.0,43.1
Portu,Girona FC,2025-2026,"FW,MF",33-339,10.0,474,0.0,0.0,43.1
Claudio Echeverri,Girona FC,2025-2026,"FW,MF",20-113,11.0,401,1.0,1.0,43.1
Jhon Solis,Girona FC,2025-2026,MF,21-204,12.0,380,0.0,0.0,43.1
David López,Girona FC,2025-2026,DF,36-198,4.0,203,0.0,0.0,43.1
Ladislav Krejčí,Girona FC,2025-2026,DF,27-005,2.0,180,0.0,0.0,43.1
Marc-André ter Stegen,Girona FC,2025-2026,GK,33-360,2.0,180,0.0,0.0,43.1
Yangel Herrera,Girona FC,2025-2026,MF,28-101,2.0,110,0.0,0.0,43.1
Cristhian Stuani,Girona FC,2025-2026,FW,39-195,15.0,250,3.0,0.0,43.1
Vladyslav Krapyvtsov,Girona FC,2025-2026,GK,20-304,2.0,136,0.0,0.0,43.1
Dawda Camara,Girona FC,2025-2026,FW,23-172,2.0,72,0.0,0.0,43.1
Bojan Miovski,Girona FC,2025-2026,FW,26-305,1.0,44,0.0,0.0,43.1
Donny van de Beek,Girona FC,2025-2026,MF,29-007,2.0,41,0.0,0.0,43.1
Abel Ruiz,Girona FC,2025-2026,FW,26-087,9.0,187,0.0,0.0,43.1
Lancinet Kourouma,Girona FC,2025-2026,FW,22-026,5.0,43,0.0,0.0,43.0
Juan Arango,Girona FC,2025-2026,MF,19-328,2.0,18,0.0,0.0,43.1
Aleksandar Andreev,Girona FC,2025-2026,GK,20-031,0.0,,,,43.1
Pol Arnau,Girona FC,2025-2026,DF,21-123,0.0,,,,43.1
Ricard Artero,Girona FC,2025-2026,MF,23-079,0.0,,,,43.1
Papa Ba,Girona FC,2025-2026,FW,21-225,0.0,,,,43.1
Rubén Blanco,Girona FC,2025-2026,GK,30-274,0.0,,,,43.1
Gibert Cámara,Girona FC,2025-2026,DF,19-058,0.0,,,,43.1
Juan Carlos,Girona FC,2025-2026,GK,38-095,0.0,,,,43.1
Dominik Livaković,Girona FC,2025-2026,GK,31-106,0.0,,,,43.1
Antonio Salguero,Girona FC,2025-2026,DF,20-318,0.0,,,,43.1
Javier Sarasa,Girona FC,2025-2026,FW,20-277,0.0,,,,43.1
Jeremy Toljan,Levante UD,2025-2026,DF,31-260,31.0,"2,692",1.0,3.0,46.6
Mathew Ryan,Levante UD,2025-2026,GK,34-017,30.0,"2,700",0.0,0.0,42.6
Manu Sánchez,Levante UD,2025-2026,DF,25-244,28.0,"2,443",1.0,2.0,45.4
Adrián de la Fuente,Levante UD,2025-2026,DF,27-058,28.0,"2,276",2.0,1.0,46.6
Iván Romero,Levante UD,2025-2026,"FW,MF",25-015,28.0,"2,043",7.0,1.0,59.4
Carlos Álvarez,Levante UD,2025-2026,MF,22-262,28.0,"1,842",3.0,1.0,50.4
Matias Moreno,Levante UD,2025-2026,DF,22-213,22.0,"1,712",0.0,0.0,41.7
Pablo Martínez,Levante UD,2025-2026,MF,28-062,21.0,"1,399",1.0,2.0,46.8
Karl Etta Eyong,Levante UD,2025-2026,FW,22-193,25.0,"1,353",5.0,2.0,56.3
Kareem Tunde,Levante UD,2025-2026,MF,20-249,16.0,975,0.0,1.0,43.1
Oriol Rey,Levante UD,2025-2026,MF,28-059,18.0,"1,184",0.0,0.0,42.1
Kervin Arriaga,Levante UD,2025-2026,MF,28-110,22.0,"1,209",1.0,2.0,45.0
Olasagasti,Levante UD,2025-2026,MF,25-252,27.0,"1,208",1.0,3.0,46.8
Unai Elgezabal,Levante UD,2025-2026,"DF,MF",33-000,12.0,958,1.0,0.0,43.1
Unai Vencedor Paris,Levante UD,2025-2026,MF,25-161,16.0,812,0.0,0.0,43.1
Brugui,Levante UD,2025-2026,"MF,FW",29-172,15.0,896,0.0,1.0,43.1
Alan Matturro,Levante UD,2025-2026,DF,21-196,17.0,842,1.0,0.0,43.1
Víctor García,Levante UD,2025-2026,"MF,FW",28-221,18.0,830,0.0,1.0,43.1
Iker Losada,Levante UD,2025-2026,MF,24-267,18.0,688,3.0,1.0,43.1
Carlos Espí,Levante UD,2025-2026,FW,20-275,19.0,828,8.0,0.0,43.1
Ugo Raghouber,Levante UD,2025-2026,MF,22-286,11.0,581,0.0,0.0,43.1
Diego Pampín,Levante UD,2025-2026,DF,26-041,6.0,368,0.0,0.0,43.1
Jorge Cabello,Levante UD,2025-2026,DF,22-000,5.0,362,0.0,0.0,43.1
Paco Cortés,Levante UD,2025-2026,"MF,FW",18-257,11.0,413,0.0,0.0,43.1
Goduine Koyalipou,Levante UD,2025-2026,FW,26-069,11.0,247,1.0,0.0,43.1
Pablo Cuñat,Levante UD,2025-2026,GK,23-362,2.0,180,0.0,0.0,43.1
José Luis Morales,Levante UD,2025-2026,MF,38-276,19.0,338,1.0,1.0,43.1
Nacho Pérez,Levante UD,2025-2026,DF,17-236,2.0,80,0.0,0.0,43.1
Tay Abed,Levante UD,2025-2026,MF,22-048,4.0,40,0.0,0.0,43.1
Sergio Lozano,Levante UD,2025-2026,MF,27-032,1.0,12,0.0,0.0,43.1
Ruiz Agustina,Levante UD,2025-2026,MF,23-073,0.0,,,,43.1
Dani Cervera,Levante UD,2025-2026,MF,23-041,0.0,,,,43.1
Martín Krug,Levante UD,2025-2026,DF,19-290,0.0,,,,43.1
Huseini Nakoha,Levante UD,2025-2026,DF,,0.0,,,,43.1
Alejandro Primo,Levante UD,2025-2026,GK,21-289,0.0,,,,43.1
Cayetano Romero,Levante UD,2025-2026,GK,21-058,0.0,,,,43.1
Martin Valjent,RCD Mallorca,2025-2026,DF,30-135,31.0,"2,790",0.0,0.0,41.9
Vedat Muriqi,RCD Mallorca,2025-2026,FW,32-001,31.0,"2,588",21.0,1.0,87.2
Leo Román,RCD Mallorca,2025-2026,GK,25-293,27.0,"2,430",0.0,0.0,42.1
Johan Mojica,RCD Mallorca,2025-2026,DF,33-247,31.0,"2,404",0.0,3.0,44.7
Samu Costa,RCD Mallorca,2025-2026,MF,25-149,29.0,"2,276",6.0,1.0,56.1
Pablo Maffeo,RCD Mallorca,2025-2026,DF,28-287,26.0,"2,218",1.0,1.0,44.2
Sergi Darder,RCD Mallorca,2025-2026,MF,32-124,32.0,"2,187",1.0,5.0,49.4
Antonio Raillo,RCD Mallorca,2025-2026,DF,34-199,23.0,"2,032",0.0,1.0,43.1
Omar Mascarell,RCD Mallorca,2025-2026,"MF,DF",33-082,25.0,"1,827",1.0,2.0,46.4
Mateo Joseph,RCD Mallorca,2025-2026,"MF,FW",22-188,29.0,"1,699",2.0,3.0,50.2
Jan Virgili,RCD Mallorca,2025-2026,"MF,FW",19-273,25.0,"1,530",1.0,4.0,48.3
Manu Morlanes,RCD Mallorca,2025-2026,MF,27-103,26.0,"1,352",2.0,0.0,45.9
Pablo Torre,RCD Mallorca,2025-2026,"MF,FW",23-022,29.0,"1,201",3.0,3.0,52.3
Antonio Sánchez,RCD Mallorca,2025-2026,"MF,DF",29-114,27.0,"1,000",0.0,0.0,41.2
Mateu Morey,RCD Mallorca,2025-2026,"DF,MF",26-054,16.0,629,1.0,0.0,43.1
Takuma Asano,RCD Mallorca,2025-2026,"MF,FW",31-166,17.0,557,1.0,0.0,43.1
David López,RCD Mallorca,2025-2026,DF,23-081,9.0,585,0.0,0.0,43.1
Toni Lato,RCD Mallorca,2025-2026,"DF,MF",28-155,9.0,465,0.0,1.0,43.1
Lucas Bergström,RCD Mallorca,2025-2026,GK,23-232,5.0,450,0.0,0.0,43.1
Marash Kumbulla,RCD Mallorca,2025-2026,DF,26-076,8.0,439,0.0,0.0,43.1
Zito Luvumbo,RCD Mallorca,2025-2026,"FW,MF",24-047,6.0,280,0.0,2.0,43.1
Marc Domenech,RCD Mallorca,2025-2026,MF,20-114,7.0,214,0.0,1.0,43.1
Javier Llabrés,RCD Mallorca,2025-2026,MF,23-226,15.0,174,0.0,0.0,43.1
Abdón Prats,RCD Mallorca,2025-2026,FW,33-139,11.0,103,0.0,0.0,43.1
Dani Rodríguez,RCD Mallorca,2025-2026,"FW,MF",37-323,2.0,68,0.0,0.0,43.1
Justin-Noël Kalumba,RCD Mallorca,2025-2026,FW,21-121,2.0,36,0.0,0.0,43.1
Jan Salas,RCD Mallorca,2025-2026,MF,20-258,2.0,17,0.0,0.0,43.1
Iván Cuéllar,RCD Mallorca,2025-2026,GK,41-333,0.0,,,,43.1
Jandro García,RCD Mallorca,2025-2026,MF,20-061,0.0,,,,43.1
Daniel Luna,RCD Mallorca,2025-2026,MF,22-353,0.0,,,,43.1
Javier Olaizola,RCD Mallorca,2025-2026,DF,19-041,0.0,,,,43.1
Cesc Riba,RCD Mallorca,2025-2026,MF,19-285,0.0,,,,43.1
Iliesse Salhi,RCD Mallorca,2025-2026,MF,18-272,0.0,,,,43.1
Leo Sãnchez,RCD Mallorca,2025-2026,DF,20-029,0.0,,,,43.1
Nil Torreguitart,RCD Mallorca,2025-2026,GK,24-216,0.0,,,,43.1
Rareș Vlad,RCD Mallorca,2025-2026,GK,20-109,0.0,,,,43.1
Sergio Herrera,CA Osasuna,2025-2026,GK,32-324,,"2,880",0.0,0.0,42.4
Catena,CA Osasuna,2025-2026,DF,31-179,,"2,531",2.0,2.0,46.4
Jon Moncayola,CA Osasuna,2025-2026,MF,27-347,,"2,525",0.0,4.0,45.0
Víctor Muñoz,CA Osasuna,2025-2026,"MF,FW",22-286,,"2,477",5.0,2.0,56.1
Ante Budimir,CA Osasuna,2025-2026,FW,34-277,,"2,448",16.0,0.0,74.9
Lucas Torró,CA Osasuna,2025-2026,MF,31-280,,"1,985",0.0,1.0,42.6
Valentin Rosier,CA Osasuna,2025-2026,"DF,MF",29-249,,"2,020",1.0,1.0,44.0
Enzo Boyomo,CA Osasuna,2025-2026,DF,24-200,,"2,002",1.0,1.0,45.2
Rubén García,CA Osasuna,2025-2026,"MF,FW",32-285,,"1,842",2.0,5.0,51.3
Aimar Oroz,CA Osasuna,2025-2026,"MF,FW",24-149,,"1,856",0.0,2.0,43.5
Jorge Herrando,CA Osasuna,2025-2026,DF,25-056,,"1,533",0.0,1.0,43.3
Abel Bretones,CA Osasuna,2025-2026,"MF,DF",25-247,,"1,431",1.0,0.0,43.3
Javi Galán,CA Osasuna,2025-2026,DF,31-157,,"1,320",0.0,1.0,43.5
Moi Gómez,CA Osasuna,2025-2026,MF,31-306,,987,0.0,1.0,43.1
Juan Cruz Armada,CA Osasuna,2025-2026,DF,33-271,,649,0.0,0.0,43.1
Iker Muñoz,CA Osasuna,2025-2026,MF,23-171,,788,0.0,0.0,43.1
Raúl,CA Osasuna,2025-2026,FW,25-173,,817,5.0,0.0,43.1
Raúl Moro,CA Osasuna,2025-2026,MF,23-141,,379,0.0,2.0,43.1
Kike Barja,CA Osasuna,2025-2026,MF,29-024,,349,1.0,2.0,43.1
Asier Osambela,CA Osasuna,2025-2026,DF,22-076,,300,1.0,0.0,43.1
Iñigo Arguibide,CA Osasuna,2025-2026,DF,21-006,,187,0.0,0.0,43.1
Iker Benito,CA Osasuna,2025-2026,MF,23-258,,150,1.0,0.0,43.1
Sheraldo Becker,CA Osasuna,2025-2026,"FW,MF",31-075,,158,0.0,0.0,43.1
Aitor Fernández,CA Osasuna,2025-2026,GK,34-357,,,0.0,0.0,42.6
Raúl Chasco,CA Osasuna,2025-2026,DF,22-224,,,,,43.1
Mauro Echegoyen,CA Osasuna,2025-2026,MF,21-053,,,,,43.1
Martín Espinal,CA Osasuna,2025-2026,FW,22-250,,,,,43.1
Mikel Serrano García,CA Osasuna,2025-2026,DF,22-313,,,,,43.1
Dimitrios Stamatakis,CA Osasuna,2025-2026,GK,23-002,,,,,43.1
Aarón Escandell,Real Oviedo,2025-2026,GK,30-210,32.0,"2,880",0.0,0.0,42.4
Ilyas Chaira,Real Oviedo,2025-2026,MF,25-082,30.0,"2,016",5.0,2.0,55.3
Alberto Reina,Real Oviedo,2025-2026,MF,28-228,31.0,"1,922",4.0,1.0,51.1
Federico Viñas,Real Oviedo,2025-2026,"FW,MF",27-299,28.0,"2,018",9.0,1.0,59.4
Nacho Vidal,Real Oviedo,2025-2026,DF,31-091,23.0,"1,849",0.0,0.0,42.1
Santiago Colombatto,Real Oviedo,2025-2026,MF,29-098,27.0,"1,769",0.0,1.0,42.6
David Carmo,Real Oviedo,2025-2026,DF,26-280,21.0,"1,722",1.0,0.0,42.6
Kwasi Sibo,Real Oviedo,2025-2026,MF,27-305,23.0,"1,532",0.0,0.0,42.4
David Costas,Real Oviedo,2025-2026,DF,31-030,20.0,"1,627",1.0,0.0,45.0
Haissem Hassan,Real Oviedo,2025-2026,"MF,FW",24-076,31.0,"1,657",0.0,3.0,45.7
Javi López,Real Oviedo,2025-2026,DF,24-031,20.0,"1,438",0.0,1.0,43.3
Rahim Bonkano,Real Oviedo,2025-2026,DF,24-114,23.0,"1,456",0.0,0.0,42.6
Leander Dendoncker,Real Oviedo,2025-2026,MF,31-010,19.0,"1,330",1.0,0.0,45.0
Dani Calvo,Real Oviedo,2025-2026,DF,32-024,16.0,"1,251",0.0,0.0,42.4
Salomón Rondón,Real Oviedo,2025-2026,FW,36-221,16.0,"1,032",2.0,0.0,47.3
Eric Bailly,Real Oviedo,2025-2026,DF,32-013,12.0,"1,043",1.0,0.0,44.7
Lucas Ahijado,Real Oviedo,2025-2026,DF,31-085,15.0,972,0.0,1.0,43.1
Luka Ilić,Real Oviedo,2025-2026,"MF,FW",26-297,18.0,714,1.0,0.0,43.1
Nicolas Fonseca,Real Oviedo,2025-2026,MF,27-188,14.0,676,0.0,0.0,43.1
Thiago Fernández,Real Oviedo,2025-2026,MF,22-022,11.0,533,0.0,4.0,43.1
Josip Brekalo,Real Oviedo,2025-2026,"MF,FW",27-306,14.0,486,0.0,0.0,43.1
Santi Cazorla,Real Oviedo,2025-2026,MF,41-133,22.0,655,0.0,1.0,43.1
Oier Luengo,Real Oviedo,2025-2026,DF,28-165,3.0,225,0.0,1.0,43.1
Álex Forés,Real Oviedo,2025-2026,FW,25-013,15.0,296,0.0,1.0,43.1
Ovie Ejaria,Real Oviedo,2025-2026,MF,28-158,8.0,200,0.0,0.0,43.1
Thiago Borbas,Real Oviedo,2025-2026,FW,24-018,7.0,89,0.0,0.0,43.1
Pablo Agudín,Real Oviedo,2025-2026,MF,18-168,6.0,78,0.0,0.0,43.1
Marco Esteban,Real Oviedo,2025-2026,DF,20-114,1.0,45,0.0,0.0,43.1
Omar Falah,Real Oviedo,2025-2026,DF,22-228,1.0,14,0.0,0.0,43.1
Borja Sánchez Laborde,Real Oviedo,2025-2026,MF,30-058,1.0,14,0.0,0.0,43.1
Álex Cardero,Real Oviedo,2025-2026,MF,22-243,0.0,,,,43.1
Cheli,Real Oviedo,2025-2026,MF,20-294,0.0,,,,43.1
Brandon Domingues,Real Oviedo,2025-2026,MF,25-323,0.0,,,,43.1
Diego Espinosa,Real Oviedo,2025-2026,DF,21-297,0.0,,,,43.1
Adri Fernández,Real Oviedo,2025-2026,DF,20-188,0.0,,,,43.1
Lamine Gueye,Real Oviedo,2025-2026,FW,21-222,0.0,,,,43.1
Diego Menéndez,Real Oviedo,2025-2026,MF,21-114,0.0,,,,43.1
Horaţiu Moldovan,Real Oviedo,2025-2026,GK,28-095,0.0,,,,43.1
Miguel Narváez,Real Oviedo,2025-2026,GK,23-361,0.0,,,,43.1
Florian Lejeune,Rayo Vallecano,2025-2026,DF,34-340,,"2,780",0.0,1.0,42.8
Augusto Batalla,Rayo Vallecano,2025-2026,GK,29-360,,"2,700",0.0,0.0,41.9
Andrei Ratiu,Rayo Vallecano,2025-2026,DF,27-309,,"2,493",0.0,3.0,44.0
Jorge de Frutos,Rayo Vallecano,2025-2026,"FW,MF",29-064,,"2,136",10.0,1.0,66.0
Isaac Palazón Camacho,Rayo Vallecano,2025-2026,"MF,FW",31-119,,"2,181",3.0,3.0,49.0
Pep Chavarría,Rayo Vallecano,2025-2026,DF,28-015,,"2,309",1.0,2.0,45.0
Álvaro García,Rayo Vallecano,2025-2026,"MF,FW",33-180,,"2,056",4.0,5.0,56.5
Óscar Valentín,Rayo Vallecano,2025-2026,MF,31-248,,"1,808",1.0,0.0,43.8
Pedro Díaz,Rayo Vallecano,2025-2026,"MF,FW",27-324,,"1,581",0.0,0.0,42.8
Nobel Mendy,Rayo Vallecano,2025-2026,DF,21-234,,"1,461",2.0,0.0,44.2
Pathé Ciss,Rayo Vallecano,2025-2026,"MF,DF",32-040,,"1,578",2.0,0.0,44.5
Unai López,Rayo Vallecano,2025-2026,MF,30-177,,"1,316",0.0,3.0,43.3
Alfonso Espino,Rayo Vallecano,2025-2026,"DF,MF",34-110,,"1,206",2.0,0.0,47.3
Gerard Gumbau,Rayo Vallecano,2025-2026,MF,31-128,,874,0.0,1.0,43.1
Francisco Perez,Rayo Vallecano,2025-2026,"MF,FW",23-228,,"1,094",2.0,1.0,47.8
Alexandre Alemão,Rayo Vallecano,2025-2026,FW,28-024,,875,1.0,0.0,43.1
Luiz Felipe,Rayo Vallecano,2025-2026,DF,29-034,,470,0.0,0.0,43.1
Ilias Akhomach,Rayo Vallecano,2025-2026,"MF,FW",22-009,,619,0.0,1.0,43.1
Carlos Martín,Rayo Vallecano,2025-2026,"MF,FW",24-003,,310,0.0,0.0,43.1
Sergio Camello,Rayo Vallecano,2025-2026,FW,25-074,,499,1.0,0.0,43.1
Iván Balliu,Rayo Vallecano,2025-2026,DF,34-114,,333,0.0,0.0,43.1
Jozhua Vertrouwd,Rayo Vallecano,2025-2026,DF,21-247,,356,0.0,0.0,43.1
Dani Cárdenas,Rayo Vallecano,2025-2026,GK,29-028,,180,0.0,0.0,43.1
Randy Nteka,Rayo Vallecano,2025-2026,FW,28-140,,204,1.0,0.0,43.1
Óscar Trejo,Rayo Vallecano,2025-2026,"FW,MF",37-364,,79,0.0,0.0,43.1
Pelayo Fernandez,Rayo Vallecano,2025-2026,DF,22-361,,45,0.0,0.0,43.1
Samu Becerra,Rayo Vallecano,2025-2026,MF,20-114,,12,0.0,0.0,43.1
Abdul Mumin,Rayo Vallecano,2025-2026,DF,27-323,,10,0.0,0.0,43.1
Juanpe,Rayo Vallecano,2025-2026,GK,24-355,,,,,43.1
Marco de las Sías,Rayo Vallecano,2025-2026,DF,20-117,,,,,43.1
Adrián Molina,Rayo Vallecano,2025-2026,GK,20-277,,,,,43.1
Pablo Fornals,Real Betis,2025-2026,MF,30-062,33.0,"2,557",7.0,4.0,62.9
Natan,Real Betis,2025-2026,DF,25-078,29.0,"2,524",0.0,0.0,41.4
Cucho,Real Betis,2025-2026,FW,27-005,28.0,"2,243",8.0,3.0,62.9
Antony,Real Betis,2025-2026,"MF,FW",26-060,27.0,"2,064",7.0,5.0,62.2
Álvaro Vallés,Real Betis,2025-2026,GK,28-274,24.0,"2,160",0.0,0.0,42.8
Marc Bartra,Real Betis,2025-2026,DF,35-100,25.0,"1,978",1.0,0.0,44.7
Abde Ezzalzouli,Real Betis,2025-2026,"MF,FW",24-129,24.0,"1,828",7.0,7.0,65.5
Marc Roca,Real Betis,2025-2026,MF,29-150,25.0,"1,806",1.0,1.0,46.1
Aitor Ruibal,Real Betis,2025-2026,"DF,MF",30-034,26.0,"1,719",4.0,2.0,53.5
Valentín Gómez,Real Betis,2025-2026,DF,22-303,24.0,"1,600",1.0,0.0,44.2
Héctor Bellerín,Real Betis,2025-2026,DF,31-037,22.0,"1,440",2.0,3.0,50.2
Ricardo Rodríguez,Real Betis,2025-2026,DF,33-243,20.0,"1,299",0.0,1.0,44.0
Giovani Lo Celso,Real Betis,2025-2026,MF,30-016,20.0,"1,179",2.0,3.0,49.7
Sergi Altimira,Real Betis,2025-2026,MF,24-243,22.0,"1,110",1.0,1.0,45.7
Sofyan Amrabat,Real Betis,2025-2026,MF,29-247,13.0,"1,035",0.0,0.0,42.1
Diego Llorente,Real Betis,2025-2026,DF,32-252,14.0,869,1.0,0.0,43.1
Pau López,Real Betis,2025-2026,GK,31-133,9.0,810,0.0,0.0,43.1
Junior Firpo,Real Betis,2025-2026,DF,29-246,10.0,672,0.0,1.0,43.1
Rodrigo Riquelme,Real Betis,2025-2026,MF,26-023,21.0,741,1.0,1.0,43.1
Nelson Deossa,Real Betis,2025-2026,MF,26-078,17.0,619,0.0,0.0,43.1
Ángel Ortíz,Real Betis,2025-2026,DF,21-274,13.0,584,0.0,0.0,43.1
Álvaro Fidalgo,Real Betis,2025-2026,MF,29-016,7.0,486,1.0,0.0,43.1
Cédric Bakambu,Real Betis,2025-2026,FW,35-014,17.0,524,3.0,1.0,43.1
Ezequiel Ávila,Real Betis,2025-2026,FW,32-078,13.0,353,1.0,0.0,43.1
Pablo Garcia,Real Betis,2025-2026,MF,19-316,15.0,388,0.0,0.0,43.1
Isco,Real Betis,2025-2026,"FW,MF",34-004,3.0,65,0.0,1.0,43.1
Iván Corralejo,Real Betis,2025-2026,MF,18-359,1.0,15,0.0,0.0,43.1
Daniel Guerrero,Real Betis,2025-2026,MF,20-273,1.0,1,0.0,0.0,43.1
Adrián,Real Betis,2025-2026,GK,39-112,0.0,,,,43.1
Darling Bladi,Real Betis,2025-2026,FW,21-318,0.0,,,,43.1
Germán García,Real Betis,2025-2026,GK,22-083,0.0,,,,43.1
Manu González,Real Betis,2025-2026,GK,19-007,0.0,,,,43.1
Iker Losada,Real Betis,2025-2026,MF,24-267,0.0,,,,43.1
Rodrigo Marina,Real Betis,2025-2026,FW,19-271,0.0,,,,43.1
Mawuli Mensah,Real Betis,2025-2026,MF,22-161,0.0,,,,43.1
Federico Valverde,Real Madrid,2025-2026,"MF,DF",27-277,,"2,560",5.0,8.0,60.8
Thibaut Courtois,Real Madrid,2025-2026,GK,33-349,,"2,520",0.0,0.0,42.8
Vinicius Júnior,Real Madrid,2025-2026,"FW,MF",25-287,,"2,476",13.0,5.0,73.0
Kylian Mbappé,Real Madrid,2025-2026,FW,27-126,,"2,397",24.0,4.0,95.0
Aurélien Tchouaméni,Real Madrid,2025-2026,MF,26-088,,"2,310",1.0,0.0,43.5
Arda Güler,Real Madrid,2025-2026,MF,21-059,,"1,997",4.0,9.0,60.8
Álvaro Carreras,Real Madrid,2025-2026,DF,23-033,,"2,152",2.0,2.0,47.6
Dean Huijsen,Real Madrid,2025-2026,DF,21-011,,"1,833",2.0,2.0,47.1
Jude Bellingham,Real Madrid,2025-2026,MF,22-300,,"1,550",4.0,3.0,55.1
Raúl Asencio,Real Madrid,2025-2026,DF,23-071,,"1,438",2.0,0.0,47.1
Eduardo Camavinga,Real Madrid,2025-2026,MF,23-166,,"1,341",1.0,0.0,45.2
Éder Militão,Real Madrid,2025-2026,DF,28-097,,"1,139",2.0,1.0,48.3
Antonio Rüdiger,Real Madrid,2025-2026,DF,33-053,,"1,220",1.0,0.0,45.4
Trent Alexander-Arnold,Real Madrid,2025-2026,DF,27-200,,906,0.0,4.0,43.1
Brahim Díaz,Real Madrid,2025-2026,"FW,MF",26-265,,958,0.0,5.0,43.1
Franco Mastantuono,Real Madrid,2025-2026,"MF,FW",18-254,,817,1.0,0.0,43.1
Dani Carvajal,Real Madrid,2025-2026,DF,34-104,,777,0.0,0.0,43.1
Fran Garcia,Real Madrid,2025-2026,"DF,MF",26-254,,672,1.0,1.0,43.1
Gonzalo García,Real Madrid,2025-2026,FW,22-032,,693,4.0,0.0,43.1
Rodrygo,Real Madrid,2025-2026,"MF,FW",25-106,,684,1.0,3.0,43.1
Andriy Lunin,Real Madrid,2025-2026,GK,27-073,,450,0.0,0.0,43.1
Thiago Pinar,Real Madrid,2025-2026,MF,18-265,,360,0.0,0.0,43.1
Dani Ceballos,Real Madrid,2025-2026,MF,29-261,,469,0.0,0.0,43.1
David Alaba,Real Madrid,2025-2026,DF,33-305,,265,0.0,0.0,43.1
Ferland Mendy,Real Madrid,2025-2026,DF,30-321,,194,0.0,0.0,43.1
Manuel Ángel,Real Madrid,2025-2026,MF,22-041,,96,0.0,0.0,43.1
Victor Valdepeñas,Real Madrid,2025-2026,DF,19-187,,77,0.0,0.0,43.1
David Jiménez,Real Madrid,2025-2026,DF,22-042,,76,0.0,0.0,43.1
César Palacios,Real Madrid,2025-2026,MF,21-165,,53,0.0,0.0,43.1
Daniel Yáñez,Real Madrid,2025-2026,MF,19-028,,33,0.0,1.0,43.1
Diego Aguado,Real Madrid,2025-2026,DF,19-077,,30,0.0,0.0,43.1
Jorge Cestero,Real Madrid,2025-2026,MF,20-032,,13,0.0,0.0,43.1
Endrick,Real Madrid,2025-2026,FW,19-278,,12,0.0,0.0,43.0
Lamini Fati,Real Madrid,2025-2026,DF,20-007,,,,,43.1
Jesus Fortea,Real Madrid,2025-2026,DF,19-030,,,,,43.1
Fran,Real Madrid,2025-2026,GK,20-305,,,,,43.1
Álvaro Leiva,Real Madrid,2025-2026,FW,23-127,,,,,43.1
Joan Lozano,Real Madrid,2025-2026,DF,18-248,,,,,43.1
Sergio Mestre,Real Madrid,2025-2026,GK,21-071,,,,,43.1
Javier Navarro,Real Madrid,2025-2026,GK,19-090,,,,,43.1
Álex Remiro,Real Sociedad,2025-2026,GK,31-032,,"2,880",0.0,0.0,42.8
Jon Aramburu,Real Sociedad,2025-2026,DF,23-276,,"2,433",1.0,0.0,43.3
Mikel Oyarzabal,Real Sociedad,2025-2026,FW,29-004,,"2,302",12.0,3.0,69.0
Sergio Gómez,Real Sociedad,2025-2026,DF,25-233,,"2,241",0.0,2.0,43.5
Jon Gorrotxategi,Real Sociedad,2025-2026,MF,24-082,,"1,995",1.0,3.0,46.6
Gonçalo Guedes,Real Sociedad,2025-2026,MF,29-147,,"1,811",8.0,4.0,65.0
Igor Zubeldia,Real Sociedad,2025-2026,DF,29-026,,"1,898",0.0,1.0,42.1
