Model,AUC,F1_Macro,F1_Weighted,Accuracy
XGBoost,0.8653958879451316,0.7551749122924217,0.8009186518415535,0.8108695652173913
Random Forest,0.8110749432975177,0.711578983434122,0.7584926518290545,0.7613043478260869
Decision Tree,0.7912579365052782,0.7064451235395983,0.7523688983562372,0.7532608695652174
Neural Network,0.7804534814107189,0.690410164946864,0.744484535955964,0.7519565217391304
Netbase(Stacking),0.7076478736206229,0.6047752564943774,0.6250034789738707,0.6115217391304347
